"","S1.T0","S1.T1","S1.T2","S1.T3","S1.T4","S1.T5","S1.T6","S1.T7","S1.T8","S1.T9","S2.T0","S2.T1","S2.T2","S2.T3","S2.T4","S2.T5","S2.T6","S2.T7","S2.T8","S2.T9","S3.T0","S3.T1","S3.T2","S3.T3","S3.T4","S3.T5","S3.T6","S3.T7","S3.T8","S3.T9","S4.T0","S4.T1","S4.T2","S4.T3","S4.T4","S4.T5","S4.T6","S4.T7","S4.T8","S4.T9","S5.T0","S5.T1","S5.T2","S5.T3","S5.T4","S5.T5","S5.T6","S5.T7","S5.T8","S5.T9","S6.T0","S6.T1","S6.T2","S6.T3","S6.T4","S6.T5","S6.T6","S6.T7","S6.T8","S6.T9","S7.T0","S7.T1","S7.T2","S7.T3","S7.T4","S7.T5","S7.T6","S7.T7","S7.T8","S7.T9","S8.T0","S8.T1","S8.T2","S8.T4","S8.T5","S8.T6","S8.T7","S8.T8","S8.T9","C1","C10","C13","C2","C3","C4","C5","C6","C7","C8","C9"
"Zotu1",3267,2348,704,2418,16441,22948,121892,244088,146717,165245,2327,2107,1059,2865,20877,30512,121897,192404,104147,104765,2893,1810,573,2952,16480,26612,125447,169781,155601,206603,2347,2195,1802,2458,15936,32704,128160,178326,106434,167897,2086,1392,1340,1784,15487,16963,93142,68087,17616,2603,1293,1029,8102,1323,10930,15297,86267,92609,49603,4640,422,10745,3941,2712,26728,13858,69880,73031,9622,1138,3735,1784,3425,19178,34300,127014,43753,6622,2584,53,14,1822,0,33,0,12,0,13,23,421
"Zotu10",935,705,46,152,66,83,4,3,0,0,182,325,120,146,80,56,3,0,0,3,608,363,73,248,155,103,12,0,7,37,350,231,188,152,62,47,13,0,0,0,11068,8246,5475,6131,1707,1598,312,121,51,17,6284,7260,27385,4621,2540,1974,342,118,41,8,1868,53565,10355,5479,2667,895,162,115,33,196,9455,6839,9034,1200,1026,165,70,21,1911,7,0,3135,0,21,4,15502,16101,19187,8381,0
"Zotu100",0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,29,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,96,6998,0,0,44,0,0,0,0,0,53,918,4,0,0,0,0,0,0,0,273,6674,0,6,0,0,0,0,4,53,1084,0,0,0,0,0,0,0,0,0,0,0
"Zotu1000",17,14,6,19,16,10,0,0,0,0,24,11,0,17,38,21,3,0,0,0,8,12,7,53,14,22,6,0,0,0,5,4,3,14,16,16,0,0,0,0,22,8,10,20,13,0,0,0,0,0,16,9,55,0,4,6,0,0,0,0,0,46,10,0,0,0,0,0,0,0,11,5,4,5,8,0,0,0,21,0,0,6,0,0,0,0,0,0,0,306
"Zotu10000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Zotu10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Zotu10004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
"Zotu10006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0
"Zotu10009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
