"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","Zotu1","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.27,"Gastropoda","class",0.24,"Helicarionidae","family",0.12,"Westracystis","genus",0.04,"Westracystis lissus","species",0.04,"","",NA
"2","Zotu2","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.3,"Gastropoda","class",0.28,"Fissurellidae","family",0.07,"Hemitoma","genus",0.03,"Hemitoma octoradiata","species",0.03,"","",NA
"3","Zotu3","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.39,"Insecta","class",0.31,"Hemiptera","order",0.08,"Cicadidae","family",0.08,"Gudanga","genus",0.01,"Gudanga adamsi","species",0.01
"4","Zotu4","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.28,"Hydrozoa","class",0.16,"Siphonophorae","order",0.08,"Apolemiidae","family",0.08,"Apolemia","genus",0.08,"Apolemia rubriversa","species",0.08
"5","Zotu5","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.29,"Gastropoda","class",0.26,"Helicarionidae","family",0.14,"Westracystis","genus",0.05,"Westracystis lissus","species",0.05,"","",NA
"6","Zotu6","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.26,"Hydrozoa","class",0.21,"Anthoathecata","order",0.15,"Corynidae","family",0.1,"Sarsia","genus",0.02,"Sarsia princeps","species",0.02
"7","Zotu7","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.35,"Arachnida","class",0.12,"Scorpiones","order",0.08,"Buthidae","family",0.04,"Buthacus","genus",0.04,"Buthacus occidentalis","species",0.04
"8","Zotu8","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.07,"Polychaeta","class",0.06,"Terebellida","order",0.05,"Alvinellidae","family",0.05,"Paralvinella","genus",0.05,"Paralvinella sulfincola","species",0.05
"9","Zotu9","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.05,"Gastropoda","class",0.04,"Rhytididae","family",0.01,"Amborhytida","genus",0.01,"Amborhytida tarangaensis","species",0.01,"","",NA
"10","Zotu10","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.19,"Demospongiae","class",0.17,"Astrophorida","order",0.12,"Vulcanellidae","family",0.08,"Poecillastra","genus",0.08,"Poecillastra laminaris","species",0.08
"11","Zotu11","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.5,"Hydrozoa","class",0.45,"Anthoathecata","order",0.2,"Pennariidae","family",0.05,"Pennaria","genus",0.05,"Pennaria disticha","species",0.05
"12","Zotu12","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.49,"Insecta","class",0.37,"Phasmatodea","order",0.06,"Bacillidae","family",0.05,"Bacillus","genus",0.05,"Bacillus rossius","species",0.04
"13","Zotu13","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.42,"Ascidiacea","class",0.42,"Enterogona","order",0.42,"Ascidiidae","family",0.42,"Ascidia","genus",0.42,"Ascidia ahodori","species",0.42
"14","Zotu14","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.08,"Anthozoa","class",0.06,"Scleractinia","order",0.04,"Caryophylliidae","family",0.02,"Solenosmilia","genus",0.02,"Solenosmilia variabilis","species",0.02
"16","Zotu16","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.54,"Insecta","class",0.42,"Hymenoptera","order",0.1,"Formicidae","family",0.04,"Iridomyrmex","genus",0.04,"Iridomyrmex spadius","species",0.03
"17","Zotu17","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.25,"Gastropoda","class",0.21,"Turbinidae","family",0.06,"Homalopoma","genus",0.05,"Homalopoma nocturnum","species",0.04,"","",NA
"18","Zotu18","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.14,"Anthozoa","class",0.04,"Scleractinia","order",0.03,"Caryophylliidae","family",0.02,"Solenosmilia","genus",0.01,"Solenosmilia variabilis","species",0.01
"19","Zotu19","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.31,"Demospongiae","class",0.22,"Halichondrida","order",0.13,"Axinellidae","family",0.11,"Axinella","genus",0.1,"Axinella corrugata","species",0.1
"20","Zotu20","","root","root",1,"Eukaryota","superkingdom",1,"Bryozoa","phylum",0.74,"Gymnolaemata","class",0.74,"Cheilostomatida","order",0.74,"Candidae","family",0.74,"Tricellaria","genus",0.74,"Tricellaria occidentalis","species",0.74
"22","Zotu22","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.25,"Gastropoda","class",0.21,"Trochomorphidae","family",0.05,"Videna","genus",0.05,"Videna planorbis","species",0.05,"","",NA
"23","Zotu23","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",1,"Asteroidea","class",1,"Forcipulatida","order",1,"Asteriidae","family",1,"Asterias","genus",1,"Asterias rubens","species",1
"25","Zotu25","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.2,"Ascidiacea","class",0.18,"Enterogona","order",0.18,"Ascidiidae","family",0.18,"Ascidia","genus",0.18,"Ascidia ahodori","species",0.18
"26","Zotu26","","root","root",1,"Eukaryota","superkingdom",1,"Rotifera","phylum",0.15,"Monogononta","class",0.15,"Ploima","order",0.15,"Asplanchnidae","family",0.15,"Asplanchna","genus",0.15,"Asplanchna sieboldi","species",0.15
"27","Zotu27","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",1,"Ascidiacea","class",1,"Stolidobranchia","order",1,"Styelidae","family",1,"Botrylloides","genus",1,"Botrylloides leachii","species",1
"29","Zotu29","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.14,"Anthozoa","class",0.12,"Scleractinia","order",0.1,"Caryophylliidae","family",0.06,"Solenosmilia","genus",0.05,"Solenosmilia variabilis","species",0.05
"30","Zotu30","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.27,"Gastropoda","class",0.26,"Helicarionidae","family",0.05,"Westracystis","genus",0.03,"Westracystis lissus","species",0.03,"","",NA
"32","Zotu32","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.1,"Homoscleromorpha","class",0.06,"Homosclerophorida","order",0.06,"Plakinidae","family",0.06,"Plakortis","genus",0.06,"Plakortis simplex","species",0.06
"33","Zotu33","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.2,"Hydrozoa","class",0.12,"Limnomedusae","order",0.01,"Olindiasidae","family",0.01,"Cubaia","genus",0.01,"Cubaia aphrodite","species",0.01
"34","Zotu34","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",1,"Polychaeta","class",1,"Capitellida","order",1,"Arenicolidae","family",1,"Arenicola","genus",1,"Arenicola marina","species",1
"35","Zotu35","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.55,"Malacostraca","class",0.11,"Amphipoda","order",0.03,"Aoridae","family",0.03,"Aoroides","genus",0.03,"Aoroides columbiae","species",0.03
"36","Zotu36","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.2,"Homoscleromorpha","class",0.17,"Homosclerophorida","order",0.17,"Plakinidae","family",0.17,"Plakina","genus",0.14,"Plakina monolopha","species",0.14
"37","Zotu37","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.26,"Arachnida","class",0.15,"Opiliones","order",0.09,"Ischyropsalididae","family",0.09,"Ischyropsalis","genus",0.09,"Ischyropsalis navarrensis","species",0.09
"38","Zotu38","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.32,"Ascidiacea","class",0.27,"Enterogona","order",0.27,"Ascidiidae","family",0.27,"Ascidia","genus",0.27,"Ascidia ahodori","species",0.27
"40","Zotu40","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.39,"Insecta","class",0.33,"Hemiptera","order",0.07,"Cercopidae","family",0.04,"Locris","genus",0.04,"Locris pullata","species",0.04
"41","Zotu41","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.6,"Maxillopoda","class",0.07,"Sessilia","order",0.07,"Balanidae","family",0.07,"Balanus","genus",0.07,"Balanus balanus","species",0.07
"42","Zotu42","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.59,"Ascidiacea","class",0.59,"Enterogona","order",0.59,"Didemnidae","family",0.23,"Diplosoma","genus",0.2,"Diplosoma spongiforme","species",0.19
"43","Zotu43","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.33,"Arachnida","class",0.1,"Scorpiones","order",0.07,"Buthidae","family",0.04,"Buthacus","genus",0.04,"Buthacus occidentalis","species",0.04
"44","Zotu44","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.06,"Homoscleromorpha","class",0.02,"Homosclerophorida","order",0.02,"Plakinidae","family",0.02,"Oscarella","genus",0.02,"Oscarella malakhovi","species",0.02
"45","Zotu45","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.52,"Insecta","class",0.42,"Hymenoptera","order",0.1,"Formicidae","family",0.04,"Iridomyrmex","genus",0.04,"Iridomyrmex spadius","species",0.04
