"","C10","C9","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"OTU_1",14,368,"OTU_1","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10",0,24,"OTU_10","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_100",0,0,"OTU_100","High","193556","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium secundatum"
"OTU_1000",0,3,"OTU_1000","Low","1076758","Eukaryota","","","Himatismenida","","Parvamoeba","Parvamoeba rugata"
"OTU_10001",0,0,"OTU_10001","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10003",0,0,"OTU_10003","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10005",0,0,"OTU_10005","Low","1850252","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum todarodis"
"OTU_10006",0,0,"OTU_10006","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10007",0,0,"OTU_10007","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10008",0,0,"OTU_10008","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10009",0,0,"OTU_10009","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1001",0,0,"OTU_1001","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10011",0,0,"OTU_10011","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10012",0,0,"OTU_10012","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10013",0,0,"OTU_10013","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10014",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10015",0,0,"OTU_10015","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10017",0,0,"OTU_10017","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10018",0,0,"OTU_10018","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10019",0,0,"OTU_10019","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10021",0,0,"OTU_10021","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10022",0,0,"OTU_10022","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10023",0,0,"OTU_10023","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10024",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10025",0,0,"OTU_10025","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10026",0,31,"OTU_10026","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10027",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10028",0,0,"OTU_10028","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10030",0,0,"OTU_10030","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10031",0,0,"OTU_10031","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10032",0,0,"OTU_10032","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10033",0,0,"OTU_10033","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10034",0,0,"OTU_10034","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10035",0,0,"OTU_10035","Low","221518","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora pseudosyringae"
"OTU_10036",0,0,"OTU_10036","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10037",0,0,"OTU_10037","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10038",0,0,"OTU_10038","Low","996801","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter reichenbachii"
"OTU_10039",0,0,"OTU_10039","High","338210","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Necora","Necora puber"
"OTU_1004",0,0,"OTU_1004","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10042",0,0,"OTU_10042","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10043",0,0,"OTU_10043","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10044",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10045",0,0,"OTU_10045","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10046",0,0,"OTU_10046","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10047",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10048",0,0,"OTU_10048","Low","1705422","Eukaryota","Gastrotricha","","Macrodasyida","Macrodasyidae","Urodasys","Urodasys sp. 114a"
"OTU_10049",0,0,"OTU_10049","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1005",0,0,"OTU_1005","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10050",0,0,"OTU_10050","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10051",0,0,"OTU_10051","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10052",0,0,"OTU_10052","Low","1698793","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora sp. IP-2015"
"OTU_10053",0,0,"OTU_10053","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10054",0,0,"OTU_10054","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10055",0,0,"OTU_10055","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10056",0,9,"OTU_10056","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10057",0,0,"OTU_10057","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10058",0,0,"OTU_10058","Low","1344365","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora","Hyaloperonospora dentariae-macrophyllae"
"OTU_10059",0,0,"OTU_10059","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1006",0,820,"OTU_1006","Low","370292","Eukaryota","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora ganbajun"
"OTU_10060",0,0,"OTU_10060","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10062",0,0,"OTU_10062","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10063",0,0,"OTU_10063","Low","438356","Eukaryota","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Cercospora","Cercospora sojina"
"OTU_10065",0,0,"OTU_10065","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10067",0,0,"OTU_10067","Low","316184","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Prayidae","Praya","Praya dubia"
"OTU_10068",0,0,"OTU_10068","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10069",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1007",0,0,"OTU_1007","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10070",0,0,"OTU_10070","High-MH","None","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"OTU_10071",0,0,"OTU_10071","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10072",0,0,"OTU_10072","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10073",0,0,"OTU_10073","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10074",0,0,"OTU_10074","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10075",0,0,"OTU_10075","Low","321614","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora nodorum"
"OTU_10076",0,0,"OTU_10076","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10077",0,0,"OTU_10077","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1008",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10080",0,0,"OTU_10080","Low","175648","Eukaryota","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coniferiporia","Coniferiporia sulphurascens"
"OTU_10081",0,0,"OTU_10081","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10082",0,0,"OTU_10082","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10083",0,0,"OTU_10083","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10084",0,0,"OTU_10084","Low","1344033","Eukaryota","Rotifera","Monogononta","Ploima","Synchaetidae","Polyarthra","Polyarthra dolichoptera complex sp. UO-2013"
"OTU_10085",0,0,"OTU_10085","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10086",0,0,"OTU_10086","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10088",0,0,"OTU_10088","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10091",0,18,"OTU_10091","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10092",0,0,"OTU_10092","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10093",0,0,"OTU_10093","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10094",0,0,"OTU_10094","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10095",0,0,"OTU_10095","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10097",0,0,"OTU_10097","Low","1973054","Eukaryota","","","","Vannellidae","Vannella","Vannella sp."
"OTU_10098",0,0,"OTU_10098","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_1010",0,0,"OTU_1010","Low","335992","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter","Candidatus Pelagibacter ubique"
"OTU_10100",0,0,"OTU_10100","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10101",0,0,"OTU_10101","None","None",NA,NA,NA,NA,NA,NA,NA
