ID,Type,Notes,Hours
1.T0,sample,Mesocosm,0
1.T1,sample,Mesocosm,1
1.T2,sample,Mesocosm,3
1.T3,sample,Mesocosm,5
1.T4,sample,Mesocosm,18
1.T5,sample,Mesocosm,24
1.T6,sample,Mesocosm,48
1.T7,sample,Mesocosm,72
1.T8,sample,Mesocosm,120
1.T9,sample,Mesocosm,192
C1,control,TankBlank,
C9,control.check,DogFish,
2.T0,sample,Mesocosm,0
2.T1,sample,Mesocosm,1
2.T2,sample,Mesocosm,3
2.T3,sample,Mesocosm,5
2.T4,sample,Mesocosm,18
2.T5,sample,Mesocosm,24
2.T6,sample,Mesocosm,48
2.T7,sample,Mesocosm,72
2.T8,sample,Mesocosm,120
2.T9,sample,Mesocosm,192
C2,control,TankBlank,
C10,control.check,Coral,
3.T0,sample,Mesocosm,0
3.T1,sample,Mesocosm,1
3.T2,sample,Mesocosm,3
3.T3,sample,Mesocosm,5
3.T4,sample,Mesocosm,18
3.T5,sample,Mesocosm,24
3.T6,sample,Mesocosm,48
3.T7,sample,Mesocosm,72
3.T8,sample,Mesocosm,120
3.T9,sample,Mesocosm,192
C3,control,TankBlank,
C11,control.n,FilterBlank,
4.T0,sample,Mesocosm,0
4.T1,sample,Mesocosm,1
4.T2,sample,Mesocosm,3
4.T3,sample,Mesocosm,5
4.T4,sample,Mesocosm,18
4.T5,sample,Mesocosm,24
4.T6,sample,Mesocosm,48
4.T7,sample,Mesocosm,72
4.T8,sample,Mesocosm,120
4.T9,sample,Mesocosm,192
C4,control,TankBlank,
C12,control.n,ExtractionBlank,
5.T0,sample,NatSpike,
5.T1,sample,NatSpike,
5.T2,sample,NatSpike,
5.T3,sample,NatSpike,
5.T4,sample,NatSpike,
5.T5,sample,NatSpike,
5.T6,sample,NatSpike,
5.T7,sample,NatSpike,
5.T8,sample,NatSpike,
5.T9,sample,NatSpike,
C5,control,TankBlank,
C13,control.com,SpikedCommunity,
6.T0,sample,NatSpike,
6.T1,sample,NatSpike,
6.T2,sample,NatSpike,
6.T3,sample,NatSpike,
6.T4,sample,NatSpike,
6.T5,sample,NatSpike,
6.T6,sample,NatSpike,
6.T7,sample,NatSpike,
6.T8,sample,NatSpike,
6.T9,sample,NatSpike,
C6,control,TankBlank,
C15,control.n,PCR1blank,
7.T0,sample,NatSpike,
7.T1,sample,NatSpike,
7.T2,sample,NatSpike,
7.T3,sample,NatSpike,
7.T4,sample,NatSpike,
7.T5,sample,NatSpike,
7.T6,sample,NatSpike,
7.T7,sample,NatSpike,
7.T8,sample,NatSpike,
7.T9,sample,NatSpike,
C7,control,TankBlank,
C16,control.n,PCR2blank,
8.T0,sample,NatSpike,
8.T1,sample,NatSpike,
8.T2,sample,NatSpike,
C14,control.n,PCR1blank,
8.T4,sample,NatSpike,
8.T5,sample,NatSpike,
8.T6,sample,NatSpike,
8.T7,sample,NatSpike,
8.T8,sample,NatSpike,
8.T9,sample,NatSpike,
C8,control,TankBlank,
EMPTY,control,,
