OTU	assignmentQual	taxID	superkingdom	phylum	class	order	family	genus	species
OTU_1	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_2	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_3	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_4	Low	2003118	Eukaryota		Chrysophyceae			Segregatospumella	Segregatospumella sp.
OTU_5	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_6	Low	1262161	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis
OTU_7	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_8	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_9	Low	65659	Eukaryota			Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba comandoni
OTU_10	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_11	Low	1429247	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema potamos
OTU_12	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_13	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_14	High	38833	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
OTU_15	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_16	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_18	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_19	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_20	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_21	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_22	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_23	High	38833	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
OTU_24	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_25	High	7604	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias	Asterias rubens
OTU_26	Low	1705422	Eukaryota	Gastrotricha		Macrodasyida	Macrodasyidae	Urodasys	Urodasys sp. 114a
OTU_27	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_28	High	62808	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides	Botrylloides leachii
