"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","OTU_1","None","None",NA,NA,NA,NA,NA,NA,NA
"2","OTU_10","None","None",NA,NA,NA,NA,NA,NA,NA
"3","OTU_100","High","193556","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium secundatum"
"4","OTU_1000","Low","1076758","Eukaryota","","","Himatismenida","","Parvamoeba","Parvamoeba rugata"
"5","OTU_10001","None","None",NA,NA,NA,NA,NA,NA,NA
"6","OTU_10003","None","None",NA,NA,NA,NA,NA,NA,NA
"7","OTU_10005","Low","1850252","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum todarodis"
"8","OTU_10006","None","None",NA,NA,NA,NA,NA,NA,NA
"9","OTU_1001","None","None",NA,NA,NA,NA,NA,NA,NA
"10","OTU_10011","None","None",NA,NA,NA,NA,NA,NA,NA
"11","OTU_10012","None","None",NA,NA,NA,NA,NA,NA,NA
"12","OTU_10014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","OTU_10015","None","None",NA,NA,NA,NA,NA,NA,NA
"14","OTU_10017","None","None",NA,NA,NA,NA,NA,NA,NA
"15","OTU_10018","None","None",NA,NA,NA,NA,NA,NA,NA
"16","OTU_10019","None","None",NA,NA,NA,NA,NA,NA,NA
"17","OTU_10021","None","None",NA,NA,NA,NA,NA,NA,NA
"18","OTU_10022","None","None",NA,NA,NA,NA,NA,NA,NA
"19","OTU_10023","None","None",NA,NA,NA,NA,NA,NA,NA
"20","OTU_10024",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","OTU_10025","None","None",NA,NA,NA,NA,NA,NA,NA
"22","OTU_10027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","OTU_10028","None","None",NA,NA,NA,NA,NA,NA,NA
"24","OTU_10030","None","None",NA,NA,NA,NA,NA,NA,NA
"25","OTU_10031","None","None",NA,NA,NA,NA,NA,NA,NA
"26","OTU_10032","None","None",NA,NA,NA,NA,NA,NA,NA
"27","OTU_10038","Low","996801","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter reichenbachii"
"28","OTU_10042","None","None",NA,NA,NA,NA,NA,NA,NA
"29","OTU_10043","None","None",NA,NA,NA,NA,NA,NA,NA
"30","OTU_10044",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","OTU_10045","None","None",NA,NA,NA,NA,NA,NA,NA
"32","OTU_10046","None","None",NA,NA,NA,NA,NA,NA,NA
"33","OTU_10047",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","OTU_10048","Low","1705422","Eukaryota","Gastrotricha","","Macrodasyida","Macrodasyidae","Urodasys","Urodasys sp. 114a"
"35","OTU_10049","None","None",NA,NA,NA,NA,NA,NA,NA
"36","OTU_10050","None","None",NA,NA,NA,NA,NA,NA,NA
"37","OTU_10051","None","None",NA,NA,NA,NA,NA,NA,NA
"38","OTU_10052","Low","1698793","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora sp. IP-2015"
"39","OTU_10054","None","None",NA,NA,NA,NA,NA,NA,NA
"40","OTU_10055","None","None",NA,NA,NA,NA,NA,NA,NA
"41","OTU_10056","None","None",NA,NA,NA,NA,NA,NA,NA
"42","OTU_10057","None","None",NA,NA,NA,NA,NA,NA,NA
"43","OTU_10058","Low","1344365","Eukaryota","","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora","Hyaloperonospora dentariae-macrophyllae"
"44","OTU_10059","None","None",NA,NA,NA,NA,NA,NA,NA
"45","OTU_10060","None","None",NA,NA,NA,NA,NA,NA,NA
"46","OTU_10065","None","None",NA,NA,NA,NA,NA,NA,NA
"47","OTU_10067","Low","316184","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Prayidae","Praya","Praya dubia"
"48","OTU_10068","None","None",NA,NA,NA,NA,NA,NA,NA
"49","OTU_10069",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","OTU_10070","High-MH","None","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"51","OTU_10071","None","None",NA,NA,NA,NA,NA,NA,NA
"52","OTU_10072","None","None",NA,NA,NA,NA,NA,NA,NA
"53","OTU_10073","None","None",NA,NA,NA,NA,NA,NA,NA
"54","OTU_1008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","OTU_1012","None","None",NA,NA,NA,NA,NA,NA,NA
"56","OTU_1013","None","None",NA,NA,NA,NA,NA,NA,NA
"57","OTU_1015","None","None",NA,NA,NA,NA,NA,NA,NA
"58","OTU_1016","None","None",NA,NA,NA,NA,NA,NA,NA
"59","OTU_1017","None","None",NA,NA,NA,NA,NA,NA,NA
